epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6994,1.19548,2.01824,1.64638,0.34377,0.5255,0.39341,0.16696,1.65836,4.84505,2.4056,0.000468891,0.000468891,0.000468891
2,54.0522,1.30808,1.50569,1.72209,0.45434,0.44034,0.39222,0.24687,1.88621,3.55183,3.3355,0.000926875,0.000926875,0.000926875
3,76.934,1.35572,1.54095,1.75084,0.12442,0.12686,0.06464,0.02327,3.47558,12.396,5.13091,0.00136637,0.00136637,0.00136637
4,99.9924,1.32981,1.4816,1.73562,0.20643,0.35093,0.27099,0.13764,2.31022,3.06849,3.33371,0.00134578,0.00134578,0.00134578
5,121.609,1.32998,1.42826,1.72431,0.49385,0.56843,0.50204,0.24946,1.83436,2.13666,3.00346,0.00131804,0.00131804,0.00131804
6,144.128,1.28838,1.41331,1.70422,0.59302,0.64143,0.5951,0.27701,1.89491,2.29704,2.93542,0.0012903,0.0012903,0.0012903
7,166.399,1.26623,1.33439,1.68598,0.35622,0.59249,0.46233,0.21472,1.78586,2.13448,2.79224,0.00126256,0.00126256,0.00126256
8,188.034,1.22543,1.31036,1.6362,0.57925,0.71618,0.69088,0.39205,1.42842,1.89283,2.26165,0.00123482,0.00123482,0.00123482
9,211.488,1.2143,1.30127,1.62781,0.78115,0.71176,0.78598,0.44511,1.56299,1.08581,2.39305,0.00120708,0.00120708,0.00120708
10,233.852,1.26172,1.25097,1.65807,0.81387,0.7642,0.80147,0.42438,1.64463,1.08722,2.47886,0.00117935,0.00117935,0.00117935
11,257.235,1.16732,1.19038,1.59066,0.62398,0.66545,0.72918,0.39456,1.58459,1.27447,2.35855,0.00115161,0.00115161,0.00115161
12,279.757,1.16403,1.17158,1.5807,0.60235,0.76287,0.72037,0.42664,1.46859,1.21693,2.14318,0.00112387,0.00112387,0.00112387
13,302.722,1.17102,1.1441,1.59342,0.61692,0.79321,0.76618,0.44126,1.55737,1.10487,2.25474,0.00109613,0.00109613,0.00109613
14,324.086,1.13563,1.07689,1.55891,0.6987,0.62848,0.69402,0.42126,1.48971,1.14996,2.20755,0.00106839,0.00106839,0.00106839
15,346.114,1.11753,1.05736,1.53465,0.69042,0.51019,0.62276,0.40117,1.36053,1.47229,2.03633,0.00104065,0.00104065,0.00104065
16,369.375,1.05203,1.07667,1.51001,0.75317,0.81685,0.81515,0.5106,1.31106,1.02631,1.95947,0.00101291,0.00101291,0.00101291
17,391.221,1.1024,1.03802,1.53552,0.73799,0.7941,0.80816,0.48452,1.36683,0.90263,2.16453,0.000985169,0.000985169,0.000985169
18,413.61,1.08022,1.00355,1.51533,0.85165,0.89224,0.89839,0.5443,1.32358,0.84904,2.03674,0.00095743,0.00095743,0.00095743
19,436.55,1.07191,1.01253,1.50393,0.68783,0.75663,0.83987,0.51541,1.2759,0.97907,1.91468,0.000929691,0.000929691,0.000929691
20,459.226,1.02308,0.96084,1.48326,0.8521,0.83069,0.86261,0.54036,1.30237,0.86213,1.99022,0.000901951,0.000901951,0.000901951
21,483.399,1.06711,0.95367,1.50484,0.71903,0.75019,0.73737,0.45858,1.38426,0.98728,2.17939,0.000874212,0.000874212,0.000874212
22,505.076,1.0533,0.94486,1.48861,0.84832,0.89055,0.89386,0.55874,1.31104,0.84199,2.1591,0.000846472,0.000846472,0.000846472
23,526.607,1.00893,0.90188,1.45279,0.75905,0.81829,0.81828,0.48955,1.33625,0.84495,2.04728,0.000818733,0.000818733,0.000818733
24,550.088,1.00646,0.86455,1.45752,0.80104,0.7822,0.83074,0.52594,1.24013,0.85235,1.90976,0.000790994,0.000790994,0.000790994
25,571.975,1.02002,0.87733,1.44296,0.88074,0.84754,0.88591,0.54947,1.30697,0.72472,1.97321,0.000763254,0.000763254,0.000763254
26,593.886,1.01509,0.85307,1.44618,0.8849,0.89487,0.91507,0.54838,1.2753,0.76243,1.95851,0.000735515,0.000735515,0.000735515
27,617.412,0.99471,0.86364,1.4336,0.90721,0.88216,0.86736,0.56057,1.28469,0.74251,1.93774,0.000707775,0.000707775,0.000707775
28,639.492,0.93111,0.84525,1.42025,0.8563,0.8166,0.85714,0.51941,1.53201,0.87607,2.34657,0.000680036,0.000680036,0.000680036
29,661.01,0.9769,0.80974,1.41714,0.89432,0.91816,0.91055,0.60273,1.26008,0.70278,1.9192,0.000652296,0.000652296,0.000652296
30,688.03,0.98314,0.80596,1.41603,0.84857,0.89867,0.89244,0.56021,1.29206,0.78287,1.96224,0.000624557,0.000624557,0.000624557
31,709.301,0.92866,0.79779,1.40601,0.87523,0.85322,0.89943,0.56406,1.3077,0.71496,2.06853,0.000596818,0.000596818,0.000596818
32,731.524,0.95394,0.75023,1.39637,0.88467,0.88908,0.90057,0.59631,1.2344,0.70253,1.88019,0.000569078,0.000569078,0.000569078
33,755.074,0.96205,0.78112,1.39921,0.89112,0.90341,0.93336,0.60958,1.17893,0.64239,1.83264,0.000541339,0.000541339,0.000541339
34,776.983,0.92536,0.77043,1.38273,0.92534,0.90774,0.93029,0.63848,1.11794,0.62307,1.74931,0.000513599,0.000513599,0.000513599
35,799.732,0.89207,0.73839,1.3634,0.91035,0.83347,0.89775,0.59362,1.19866,0.70751,1.83056,0.00048586,0.00048586,0.00048586
36,822.197,0.89029,0.73376,1.35705,0.87792,0.93244,0.91537,0.6095,1.16438,0.66835,1.82541,0.000458121,0.000458121,0.000458121
37,843.844,0.90009,0.72443,1.35501,0.83472,0.88826,0.87156,0.58078,1.13904,0.76627,1.77025,0.000430381,0.000430381,0.000430381
38,866.461,0.8504,0.68651,1.34446,0.8585,0.86871,0.86622,0.60091,1.13701,0.6654,1.79116,0.000402642,0.000402642,0.000402642
39,888.757,0.87332,0.71851,1.35288,0.90152,0.91797,0.93223,0.64347,1.09979,0.61206,1.74108,0.000374902,0.000374902,0.000374902
40,912.969,0.84954,0.68214,1.3356,0.86563,0.8713,0.89455,0.63266,1.07868,0.69916,1.68438,0.000347163,0.000347163,0.000347163
41,936.133,0.83983,0.64315,1.33739,0.91542,0.91675,0.91865,0.63477,1.12397,0.58734,1.77238,0.000319424,0.000319424,0.000319424
